cod_cliente,nome,email,telefone
1,Beatriz Leão,tcardoso@example.org,0900-858-2645
2,João Vitor Moreira,biancaalbuquerque@example.org,+55 (084) 1660-4560
3,Maysa Pimenta,vicente85@example.org,+55 41 0215-9949
4,Sofia Mendonça,mathiasgoncalves@example.net,+55 84 1086-8244
5,Ravi Lucca Guerra,yasmin39@example.com,(011) 5715-3872
6,Josué Ramos,lopesisaac@example.net,+55 (061) 1789 4165
7,Gabriela Viana,da-costamanuella@example.org,(081) 7672-7949
8,Srta. Hadassa Alves,manuelacosta@example.net,+55 (084) 6373 3537
9,Arthur Mendonça,andradeana@example.net,0500 227 4992
10,Sr. Luan Gomes,juan47@example.com,84 9175 3364
11,Nicolas Silveira,brayanmacedo@example.net,(061) 4197-3224
12,Thomas Dias,maria-luisadas-neves@example.net,51 0785 5786
13,Sr. Joaquim Sá,da-conceicaostella@example.net,+55 41 5858-0266
14,Davi Miguel Alves,sampaiomaria-laura@example.net,(081) 2893 1535
15,Sra. Alícia Abreu,luiz-gustavoabreu@example.com,+55 31 3934-5718
16,Srta. Gabriela Aragão,borgesisis@example.com,+55 81 2613 1827
17,Raquel Campos,ccamara@example.com,+55 84 4737 2153
18,Luna Rezende,costakaique@example.net,(061) 2928-1915
19,Carlos Eduardo Siqueira,jesusmaria-isis@example.com,(021) 3693 4526
20,Heitor Azevedo,cunhaisis@example.org,(084) 3380 4903
21,Melina Rodrigues,luanateixeira@example.org,+55 81 0143 3982
22,Dra. Natália Nogueira,gabrielly31@example.net,0900 542 2573
23,Ana Liz Macedo,bruna55@example.com,21 3500-3102
24,Srta. Maria Luísa Caldeira,danielacampos@example.com,(081) 0075 4269
25,Miguel Dias,almeidaalicia@example.net,(051) 0104-9162
26,Diego Porto,ssa@example.org,+55 81 2490 4965
27,Davi Miguel Alves,peixotoesther@example.org,84 1721-1185
28,Julia Correia,kamillycaldeira@example.com,0800 139 9661
29,Srta. Ana Luiza Pastor,imoraes@example.org,61 2015-9878
30,Rafael Mendonça,ana-vitoria85@example.com,+55 (071) 9225 2579
31,Isabelly Monteiro,psouza@example.com,+55 11 6441 3369
32,Luna Siqueira,cassianomaria-julia@example.net,11 0804 0421
33,Gael Henrique Abreu,tbarbosa@example.com,+55 21 9583-7916
34,Manuella Albuquerque,siqueiramiguel@example.org,(084) 8262-5403
35,Juan Azevedo,josecampos@example.org,+55 71 0745 5512
36,Anthony da Costa,luiz-felipe93@example.net,84 8702 7794
37,Maria Flor Aparecida,ribeirocecilia@example.net,(041) 2907 5223
38,Isadora Nunes,rochaalicia@example.net,81 0172-2539
39,Noah da Paz,sara03@example.com,+55 (021) 9187 4752
40,Gael Henrique Costela,erocha@example.net,0500 343 2751
41,Dra. Ágatha Moraes,kevinda-cunha@example.net,+55 81 0758 7268
42,Maria Helena Viana,bda-cruz@example.com,51 4112 4407
43,João Gabriel Novaes,heloisa43@example.com,+55 81 7077-5161
44,Maria Alice Camargo,luiza42@example.net,11 7528 0677
45,Benjamim Lima,da-motaana-livia@example.com,(081) 0173-7925
46,Ana Lívia Macedo,xcamara@example.net,(071) 2920-9858
47,Anthony Gabriel Rios,rebecaazevedo@example.com,+55 (084) 3856 0075
48,Dra. Ester Ribeiro,halmeida@example.org,+55 (051) 2084-1238
49,Luana Martins,daparecida@example.org,(011) 5415-6524
50,Jade Pacheco,isabelly76@example.com,+55 11 3381 9772
51,Hadassa Cirino,sophia76@example.net,(071) 2521-6934
52,Sabrina Cavalcanti,bda-mota@example.net,+55 (021) 7513 7590
