cod_endereco,cod_cliente,rua,numero,cidade,estado,cep
1,243,Jardim Gomes,2,da Rosa de Lopes,AP,33043-501
2,20927,Avenida de Albuquerque,50,Araújo,CE,50492-677
3,12372,Chácara Olívia Jesus,17,Siqueira,MA,48143856
4,16779,Quadra de Abreu,71,Ribeiro da Praia,RJ,02835299
5,7853,Setor Ana Sophia Lopes,59,Pereira,DF,61228369
6,24318,Via Garcia,39,Fernandes,PB,77049-661
7,21932,Esplanada Fernanda Costela,9,da Cunha,MG,43207228
8,13140,Aeroporto Juan Nascimento,6,Caldeira,AM,14883-125
9,3314,Estação Caldeira,50,Moreira do Sul,MG,23128-650
10,16405,Distrito da Rocha,63,Nogueira,PE,14981-452
11,14323,Chácara Giovanna Novaes,85,Moraes Paulista,RS,83935-990
12,16240,Colônia Catarina Pereira,103,Silva da Serra,SP,13597876
13,7518,Rodovia Borges,99,Teixeira,RN,06091-233
14,16056,Lago Viana,35,Fogaça de Ramos,SC,22964-740
15,19008,Praça de Fonseca,50,Porto do Sul,BA,48772587
16,15404,Esplanada de Vargas,93,Montenegro,AM,82714464
17,5181,Ladeira Arthur Ferreira,55,Cavalcante de Nascimento,SP,92473164
18,6929,Praça de da Conceição,52,Araújo,RJ,66778-330
19,1046,Colônia de Sá,17,Viana do Norte,PA,83055-594
20,13728,Setor de Novaes,440,Albuquerque de da Paz,RR,56839480
21,8025,Trecho Leão,632,Lima de Minas,PR,19175-045
22,18775,Campo de Silva,1,da Cruz de Marques,MG,25319-905
23,14555,Viela Pedro Henrique Dias,20,Pastor,MG,18163306
24,10505,Lago da Conceição,78,Fogaça do Norte,PB,75850-126
25,8505,Lagoa de Azevedo,2,Abreu de Pires,MT,01635153
26,6502,Vale de Azevedo,85,Abreu de Rocha,AM,09946-302
27,14639,Ladeira de Vargas,2,Vargas,CE,12506-383
28,15019,Avenida de Melo,261,Jesus das Flores,PR,04654-165
29,5095,Loteamento Elisa Vieira,8,Borges,PI,48154-389
30,8002,Largo Benício Barros,4,das Neves,BA,97933-628
31,8651,Morro Maria Cecília Cirino,7,Cavalcante,PA,93498-147
32,16116,Favela de Novais,36,Melo,DF,99277360
33,18390,Aeroporto Bento Cirino,741,Pimenta do Sul,MG,98024866
34,4874,Praia Maria Flor Teixeira,2,Garcia,TO,72003616
35,11309,Praia Ravi Cavalcanti,96,Silveira,RS,89858606
36,6935,Estação Nogueira,6,Porto,GO,78567890
37,10144,Ladeira Borges,7,Macedo de Goiás,RN,24781-897
38,13754,Travessa de Cunha,19,Nascimento das Flores,PI,32162-606
39,4291,Lago Leão,39,Barros de Goiás,AM,90999533
40,17664,Residencial Sá,8,Rodrigues do Amparo,SP,50873-129
41,23718,Trecho de Cassiano,872,da Costa da Prata,TO,09530-321
